sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
4977;DHT22;76;-1.261;36.782;2026-07-01T00:30:32+00:00;humidity;99.9
4977;DHT22;76;-1.261;36.782;2026-07-01T00:30:32+00:00;temperature;16.2
4962;pms5003;76;-1.261;36.782;2026-07-01T00:30:37+00:00;P2;10
4962;pms5003;76;-1.261;36.782;2026-07-01T00:30:37+00:00;P1;10
4962;pms5003;76;-1.261;36.782;2026-07-01T00:30:37+00:00;P0;6
793;DHT22;3981;-1.269;36.819;2026-07-01T00:30:37.299877+00:00;humidity;99.90
793;DHT22;3981;-1.269;36.819;2026-07-01T00:30:37.299877+00:00;temperature;17.30
4963;DHT22;76;-1.261;36.782;2026-07-01T00:30:39+00:00;humidity;99.9
4963;DHT22;76;-1.261;36.782;2026-07-01T00:30:39+00:00;temperature;16.1
792;pms5003;3981;-1.269;36.819;2026-07-01T00:35:55.547578+00:00;P2;15.60
792;pms5003;3981;-1.269;36.819;2026-07-01T00:35:55.547578+00:00;P1;17.00
792;pms5003;3981;-1.269;36.819;2026-07-01T00:35:55.547578+00:00;P0;12.00
4976;pms5003;76;-1.261;36.782;2026-07-01T00:36:48+00:00;P2;13
4976;pms5003;76;-1.261;36.782;2026-07-01T00:36:48+00:00;P1;13
4976;pms5003;76;-1.261;36.782;2026-07-01T00:36:48+00:00;P0;7
4977;DHT22;76;-1.261;36.782;2026-07-01T00:36:50+00:00;humidity;99.9
4977;DHT22;76;-1.261;36.782;2026-07-01T00:36:50+00:00;temperature;16.3
4962;pms5003;76;-1.261;36.782;2026-07-01T00:37:20+00:00;P2;13
4962;pms5003;76;-1.261;36.782;2026-07-01T00:37:20+00:00;P1;13
4962;pms5003;76;-1.261;36.782;2026-07-01T00:37:20+00:00;P0;9
4963;DHT22;76;-1.261;36.782;2026-07-01T00:37:22+00:00;humidity;99.9
4963;DHT22;76;-1.261;36.782;2026-07-01T00:37:22+00:00;temperature;16.2
792;pms5003;3981;-1.269;36.819;2026-07-01T00:41:20.588995+00:00;P2;14.00
792;pms5003;3981;-1.269;36.819;2026-07-01T00:41:20.588995+00:00;P1;15.00
792;pms5003;3981;-1.269;36.819;2026-07-01T00:41:20.588995+00:00;P0;11.00
793;DHT22;3981;-1.269;36.819;2026-07-01T00:41:38.275970+00:00;humidity;99.90
793;DHT22;3981;-1.269;36.819;2026-07-01T00:41:38.275970+00:00;temperature;17.40
4976;pms5003;76;-1.261;36.782;2026-07-01T00:42:24+00:00;P2;12
4976;pms5003;76;-1.261;36.782;2026-07-01T00:42:24+00:00;P1;12
4976;pms5003;76;-1.261;36.782;2026-07-01T00:42:24+00:00;P0;8
4977;DHT22;76;-1.261;36.782;2026-07-01T00:42:26+00:00;humidity;99.9
4977;DHT22;76;-1.261;36.782;2026-07-01T00:42:26+00:00;temperature;16.1
4962;pms5003;76;-1.261;36.782;2026-07-01T00:42:57+00:00;P2;12
4962;pms5003;76;-1.261;36.782;2026-07-01T00:42:57+00:00;P1;12
4962;pms5003;76;-1.261;36.782;2026-07-01T00:42:57+00:00;P0;9
4963;DHT22;76;-1.261;36.782;2026-07-01T00:42:59+00:00;humidity;99.9
4963;DHT22;76;-1.261;36.782;2026-07-01T00:42:59+00:00;temperature;16.3
792;pms5003;3981;-1.269;36.819;2026-07-01T00:46:59.424557+00:00;P2;19.00
792;pms5003;3981;-1.269;36.819;2026-07-01T00:46:59.424557+00:00;P1;20.25
792;pms5003;3981;-1.269;36.819;2026-07-01T00:46:59.424557+00:00;P0;13.00
793;DHT22;3981;-1.269;36.819;2026-07-01T00:47:16.930980+00:00;humidity;99.90
